Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
13.06.2024,9022510,9017792,9044345,9015161,,+0.06%
12.06.2024,9017501,9019916,9023334,9014040,,+0.03%
11.06.2024,9015000,9020000,9026200,9012550,,0.00%
10.06.2024,9015000,9012500,9017500,9012500,,+0.28%
07.06.2024,8990000,8995000,8995000,8985000,,+0.11%
06.06.2024,8980000,8977500,8987500,8977500,,0.00%
05.06.2024,8980000,8980000,8985000,8976300,,+0.17%
04.06.2024,8965000,8972500,8975000,8952450,,+0.06%
03.06.2024,8960000,8970000,8970000,8952400,,+0.06%
31.05.2024,8955000,8952500,8957500,8951300,,+0.14%
30.05.2024,8942400,8940000,8947500,8938800,,+0.08%
29.05.2024,8935000,8935000,8938700,8933900,,+0.06%
28.05.2024,8930000,8932500,8936200,8931300,,0.00%
27.05.2024,8930000,8927500,8935000,8927500,,+0.28%
24.05.2024,8905000,8907500,8908700,8906300,,+0.06%
23.05.2024,8900000,8900000,8903700,8898800,,+0.06%
22.05.2024,8895000,8897500,8901200,8896300,,+0.06%
21.05.2024,8890000,8892500,8893700,8891300,,+0.06%
20.05.2024,8885000,8887500,8888700,8886300,,+0.23%
17.05.2024,8865000,8865000,8868700,8863800,,+0.06%
16.05.2024,8860000,8862500,8862500,8862500,,+0.06%
15.05.2024,8855000,8857500,8858700,8856300,,+0.06%
14.05.2024,8850000,8852500,8853700,8851300,,+0.11%
13.05.2024,8840000,8842500,8843700,8841300,,+0.13%
