Unnamed: 0,Nombre,Último,Máximo,Mínimo,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,GP Fin Galicia,"3.860,000","3.861,500","3.575,000",294300,"+8,25%","3,36M",21:59:00
,Ternium Argentina,945000,970000,838000,77000,"+8,87%","2,02M",21:59:00
,Pampa Energía,"2.182,800","2.203,850","2.105,000",91550,"+4,38%","3,61M",22:07:00
,Telecom Argentina,"1.906,00","1.920,00","1.763,20",13665,"+7,72%","279,08K",21:59:00
,Aluar,903000,905000,840000,40000,"+4,63%","1,34M",21:59:00
,BBVA Banco Frances,"3.939,00","3.950,00","3.620,00",32860,"+9,10%",654K,21:59:00
,Banco Macro B,"6.800,00","6.840,00","6.305,00",52075,"+8,29%","409,5K",21:59:00
,Edenor,"1.043,000","1.050,000",981000,68000,"+6,97%","805,56K",21:59:00
,Transener,"1.465,000","1.497,000","1.410,000",57000,"+4,05%","359,54K",21:59:00
,Mirgor,"14.880,00","15.000,00","14.500,00",23500,"+1,60%","8,39K",21:59:00
,Central Puerto,"1.223,75","1.231,00","1.165,00",5950,"+5,11%","1,44M",21:59:00
,Comercial del Plata,115800,116150,113000,2300,"+2,03%","3,24M",21:59:00
,Cresud,"1.086,00","1.100,00","1.040,00",2545,"+2,40%","667,16K",21:59:00
,Holcim Argentina,"1.348,500","1.352,000","1.277,000",61500,"+4,78%","50,12K",21:59:00
,Trans. Gas Norte,"2.665,000","2.700,000","2.532,500",158000,"+6,30%","363,54K",21:59:00
,Trans. Gas Sur,"4.315,000","4.468,400","4.190,000",153700,"+3,69%",503K,21:59:00
,YPF,"26.100,00","26.400,00","25.500,00",97975,"+3,90%","330,03K",21:59:00
,Grupo Supervielle,"1.539,000","1.560,000","1.461,050",65900,"+4,47%","1,13M",21:59:00
,BYMA,"1.630,00","1.650,00","1.532,00",9650,"+6,29%","645,24K",21:59:00
,Cablevisión,"4.709,00","4.799,50","4.472,00",23900,"+5,35%","15,55K",21:59:00
,Banco de Valores,267000,267000,257500,11000,"+4,30%","1,67M",21:59:00
,Loma Negra,"1.675,000","1.724,000","1.640,000",40350,"+2,47%","853,96K",21:59:00
,Laboratorios Richmond,935000,962000,881500,44000,"+4,94%","7,9K",21:58:00
